profile_id,reasoning,representation,operation,execution,conflict,expected_rule,expected_label,expected_action,evidence_ids,evidence_count,uncertainty,teacher_status,applied,data_origin,participant_data
C033,fail,pass,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C034,fail,pass,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C035,fail,pass,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C036,fail,pass,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C037,fail,fail,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C038,fail,fail,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C039,fail,fail,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C040,fail,fail,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C041,fail,fail,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C042,fail,fail,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C043,fail,fail,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C044,fail,fail,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C045,fail,fail,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C046,fail,unknown,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C047,fail,unknown,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C048,fail,unknown,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C049,fail,unknown,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C050,fail,unknown,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C051,fail,unknown,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C052,fail,unknown,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C053,fail,unknown,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C054,fail,unknown,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C055,unknown,pass,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C056,unknown,pass,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C057,unknown,pass,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C058,unknown,pass,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C059,unknown,pass,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C060,unknown,pass,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C061,unknown,pass,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C062,unknown,pass,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C063,unknown,pass,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C064,unknown,fail,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C065,unknown,fail,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C066,unknown,fail,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C067,unknown,fail,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C068,unknown,fail,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C069,unknown,fail,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C070,unknown,fail,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C071,unknown,fail,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C072,unknown,fail,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-representation""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C073,unknown,unknown,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-operation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C074,unknown,unknown,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-operation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C075,unknown,unknown,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-operation""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C076,unknown,unknown,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-operation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C077,unknown,unknown,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-operation"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C078,unknown,unknown,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-operation""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C079,unknown,unknown,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-execution""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C080,unknown,unknown,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-execution""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C081,unknown,unknown,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
